date,store_id,product_id,price,promo,holiday,quantity
2023-10-20,S001,P001,57.29,0,0,89
2023-10-20,S001,P002,8.19,0,0,109
2023-10-20,S001,P003,43.94,0,0,96
2023-10-20,S001,P004,21.73,0,0,99
2023-10-20,S001,P005,21.02,0,0,100
2023-10-20,S001,P006,30.08,0,0,96
2023-10-20,S001,P007,33.28,0,0,104
2023-10-20,S001,P008,8.58,0,0,100
2023-10-20,S001,P009,49.46,0,0,104
2023-10-20,S001,P010,11.71,0,0,99
2023-10-20,S001,P011,55.01,0,0,88
2023-10-20,S001,P012,35.07,0,0,114
2023-10-20,S001,P013,47.63,0,0,104
2023-10-20,S001,P014,9.87,0,0,114
2023-10-20,S001,P015,22.89,0,0,112
2023-10-20,S001,P016,20.45,0,0,99
2023-10-20,S001,P017,49.12,0,0,107
2023-10-20,S001,P018,47.42,0,0,110
2023-10-20,S001,P019,11.37,0,0,90
2023-10-20,S001,P020,22.1,0,0,115
2023-10-21,S001,P001,40.07,0,1,87
2023-10-21,S001,P002,46.84,0,1,96
2023-10-21,S001,P003,32.16,0,1,94
2023-10-21,S001,P004,6.73,0,1,100
2023-10-21,S001,P005,32.97,0,1,93
2023-10-21,S001,P006,17.58,0,1,85
2023-10-21,S001,P007,13.87,0,1,105
2023-10-21,S001,P008,49.2,0,1,108
2023-10-21,S001,P009,34.66,0,1,95
2023-10-21,S001,P010,17.54,0,1,106
2023-10-21,S001,P011,52.34,0,1,70
2023-10-21,S001,P012,11.59,0,1,104
2023-10-21,S001,P013,22.78,0,1,90
2023-10-21,S001,P014,57.93,0,1,110
2023-10-21,S001,P015,21.55,0,1,100
2023-10-21,S001,P016,7.83,0,1,96
2023-10-21,S001,P017,18.18,0,1,103
2023-10-21,S001,P018,41.97,0,1,97
2023-10-21,S001,P019,45.05,0,1,111
2023-10-21,S001,P020,9.97,0,1,114
2023-10-22,S001,P001,15.26,0,1,117
2023-10-22,S001,P002,33.17,0,1,107
2023-10-22,S001,P003,14.59,0,1,106
2023-10-22,S001,P004,23.76,0,1,98
2023-10-22,S001,P005,53.25,0,1,107
2023-10-22,S001,P006,34.13,0,1,103
2023-10-22,S001,P007,54.35,0,1,82
2023-10-22,S001,P008,44.93,0,1,109
2023-10-22,S001,P009,47.89,0,1,99
2023-10-22,S001,P010,10.58,0,1,109
2023-10-22,S001,P011,13.84,0,1,111
2023-10-22,S001,P012,44.17,0,1,110
2023-10-22,S001,P013,46.06,0,1,101
2023-10-22,S001,P014,10.15,0,1,110
2023-10-22,S001,P015,18.42,1,1,119
2023-10-22,S001,P016,48.71,0,1,94
2023-10-22,S001,P017,32.09,0,1,89
2023-10-22,S001,P018,40.5,0,1,108
2023-10-22,S001,P019,57.47,0,1,95
2023-10-22,S001,P020,58.0,0,1,103
2023-10-23,S001,P001,26.18,0,0,95
2023-10-23,S001,P002,56.49,0,0,96
2023-10-23,S001,P003,10.34,0,0,117
2023-10-23,S001,P004,43.34,0,0,103
2023-10-23,S001,P005,21.15,0,0,108
2023-10-23,S001,P006,33.12,0,0,106
2023-10-23,S001,P007,40.75,0,0,105
2023-10-23,S001,P008,25.66,0,0,106
2023-10-23,S001,P009,6.98,0,0,88
2023-10-23,S001,P010,6.68,0,0,110
2023-10-23,S001,P011,24.81,0,0,120
2023-10-23,S001,P012,39.26,0,0,104
2023-10-23,S001,P013,34.22,0,0,118
2023-10-23,S001,P014,33.4,0,0,112
2023-10-23,S001,P015,19.9,0,0,97
2023-10-23,S001,P016,13.6,0,0,122
2023-10-23,S001,P017,44.3,0,0,106
2023-10-23,S001,P018,28.08,0,0,121
2023-10-23,S001,P019,46.68,0,0,100
2023-10-23,S001,P020,32.04,0,0,122
2023-10-24,S001,P001,28.86,0,0,119
2023-10-24,S001,P002,25.6,0,0,118
2023-10-24,S001,P003,52.11,0,0,100
2023-10-24,S001,P004,56.71,0,0,102
2023-10-24,S001,P005,40.38,0,0,110
2023-10-24,S001,P006,57.87,0,0,102
2023-10-24,S001,P007,8.81,0,0,101
